EAN,GSI,nombre,distribuidor,precio,ASIN,imagen,relevancia
1,2,davines minu champú illuminating protective champú (for coloured hair) 1000 ml/33.8oz,Davines,58.0,B07D1DJ8TH,https://m.media-amazon.com/images/I/51doV2V7d-L._AC_SX569_.jpg,59
1,2,"daviness, filtro solar corporal - 75 gr.",Davines,11.0,B00VO6BX6E,https://m.media-amazon.com/images/I/719EBbT0MRL._AC_SX569_.jpg,60
1,2,natural tech replumping conditioner (for all hair types) 1000ml/33.8oz,Davines,72.0,B01CUYO004,https://m.media-amazon.com/images/I/31bN+JWylJL._AC_.jpg,61
1,2,davines su champu para cabello&cuerpo 75 200 g,Davines,21.0,B00VO6BJ40,https://m.media-amazon.com/images/I/6167vVyOkoL._SY679_.jpg,62
1,2,naturaltech natural tech mini productos champú energizante - 100 ml,Davines,11.0,B073P2JXJ6,https://m.media-amazon.com/images/I/510yPHWoVjL._SX522_.jpg,63
1,2,"davines, set de regalo de pelo - 400 ml.",Davines,30.0,B01LY8TERO,https://m.media-amazon.com/images/I/41PvID1tYXL._AC_SX569_.jpg,64
1,2,davines finest pigments #5 castaño claro 280 ml - 280 ml,Davines,54.0,B008AW6L5S,https://m.media-amazon.com/images/I/51y3GwSclOL._SX522_.jpg,65
1,2,davines minu illuminating mascarilla para el pelo - 1000 ml,Davines,84.0,B00QFL8G9U,https://m.media-amazon.com/images/I/71Gd2tDswFL._AC_SY879_.jpg,66
1,2,davines natural tech well-being champú - 100 ml,Davines,11.0,B00CGPJDCS,https://m.media-amazon.com/images/I/71fIZhi6eSL._AC_SY879_.jpg,67
1,2,davines natural tech well-being acondicionador - 60 ml,Davines,11.0,B00CGPMFA0,https://m.media-amazon.com/images/I/81DrUs2nO4L._AC_SY879_.jpg,68
1,2,davines r renewing pro boost superactivo 500 ml.,Davines,65.0,B075JM91SV,https://m.media-amazon.com/images/I/61orhAryb+L._SX522_.jpg,69
1,2,davines – natural de tech well being conditioner 1000 ml/33.8oz,Davines,66.0,B07D1S8MV8,https://m.media-amazon.com/images/I/31YIgkiiFXL._AC_.jpg,70
1,2,davines finest pigments red 280ml,Davines,64.0,B00VDW61LQ,https://m.media-amazon.com/images/I/51aLQiqyZ8L._AC_SX569_.jpg,71
1,16195132851768984627,"daviness, acondicionador de pelo - 125 gr.",Davines,18.0,B00GB8T5P6,https://m.media-amazon.com/images/I/816IvMudwCL._AC_SY879_.jpg,72
1,2,momo hair potion moisturizing universal cream (for dry or dehydrated hair) 150ml/5.07oz,Davines,30.0,B0774H86RS,https://m.media-amazon.com/images/I/61MzbwEZ3QL._AC_SX569_.jpg,73
1,2,"daviness - tinte con extractos de plantas, 280 ml, mahogany/mogano",Davines,54.0,B0087CW9G6,https://m.media-amazon.com/images/I/51q36-7PcdL._SX522_.jpg,74
1,2,"daviness, cuidado del pelo y del cuero cabelludo - 280 gr.",Davines,54.0,B007804K1U,https://m.media-amazon.com/images/I/51KSK4kmLaL._AC_SX569_.jpg,75
1,2,"daviness, cuidado del pelo y del cuero cabelludo - 280 gr.",Davines,60.0,B00514HDDW,https://m.media-amazon.com/images/I/51sawcKkxUL._SX522_.jpg,76
1,2,"daviness, acondicionador de pelo - 75 gr.",Davines,11.0,B00VO6BMSS,https://m.media-amazon.com/images/I/61DipDlPqRL._AC_SY879_.jpg,77
1,2,su crema protectora spf30 cara y cuerpo 100 ml,Davines,31.0,B08BV2JHQ5,https://m.media-amazon.com/images/I/618Ipo+1LVL._AC_SY741_.jpg,78
1,2,"daviness, acondicionador de pelo - 75 gr.",Davines,11.0,B00VO6BQ98,https://m.media-amazon.com/images/I/61Sk9fwSlGL._AC_SY879_.jpg,79
